Removed Pin From Net: NetName=GND Pin=C5_A-1
Removed Pin From Net: NetName=VCC Pin=C5_A-2
Removed Pin From Net: NetName=GND Pin=C5_B-1
Removed Pin From Net: NetName=VCC Pin=C5_B-2
Removed Pin From Net: NetName=GND Pin=C5_C-1
Removed Pin From Net: NetName=VCC Pin=C5_C-2
Removed Pin From Net: NetName=GND Pin=C5_D-1
Removed Pin From Net: NetName=VCC Pin=C5_D-2
Removed Pin From Net: NetName=GND Pin=C5_E-1
Removed Pin From Net: NetName=VCC Pin=C5_E-2
Removed Pin From Net: NetName=GND Pin=C5_F-1
Removed Pin From Net: NetName=VCC Pin=C5_F-2
Removed Pin From Net: NetName=GND Pin=C5_G-1
Removed Pin From Net: NetName=VCC Pin=C5_G-2
Removed Pin From Net: NetName=GND Pin=J2-1
Removed Member From Class: ClassName=Power_Converter Member=C5_A
Removed Member From Class: ClassName=Power_Converter Member=C5_B
Removed Member From Class: ClassName=Power_Converter Member=C5_C
Removed Member From Class: ClassName=Power_Converter Member=C5_D
Removed Member From Class: ClassName=Power_Converter Member=C5_E
Removed Member From Class: ClassName=Power_Converter Member=C5_F
Removed Member From Class: ClassName=Power_Converter Member=C5_G
Removed Member From Class: ClassName=UWB_Beacon_Schematic Member=R5
Change Component Footprint: Designator=J2 Old Footprint=FP-BM04B-GHS-TBT_LF_SN-MFG New Footprint=FP-BM05B-GHS-TBT_LF_SN-MFG
Change Component Comment : Designator=R5 Old Comment=22.1k New Comment=1k
Change Managed Component Library Link : Designator=J2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=26D0CD59-DBD6-440C-826A-C079F8D9FDCB New ItemGUID=B0D41C50-3BEF-4FE0-87D6-9427C3E62820 Old RevisionGUID=E4913C47-8456-4C49-86A4-9FC8EEFBCCC4 New RevisionGUID=60594BCB-867E-4AB7-B3EE-F223770BD53A
Change component parameters: Designator = "R5" ("R5"); Footprint = "FP-CRGCQ0805-IPC_C"; UniqueID = "\NUTYSWJZ" ("\NUTYSWJZ")
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "+70°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive Grade"; Value = "Grade 1142"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Res"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773204-3%7F1%7Fpdf%7FEnglish%7FENG_DS_1773204-3_1.pdf%7F4-2176341-1151"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "RESC200125X55"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CRGCQ0805J100K"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/crgcq0805j100k-te+connectivity-91018199"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "CRGCQ0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Rating"; Value = "0.125W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resistance"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "CRGCQ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+155°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.05"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
