U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.634,4.15,3.618,3.077,2.555,2.042,1.568,1.131,0.58,0.096,4.568,4.017,3.542,3.02,2.489,1.938,1.482,1.055,0.467,0.058,4.511,4.017,3.514,2.992,2.508,1.985,1.473,1.017,0.476,0.087
4.605,4.131,3.609,3.096,2.564,2.052,1.558,1.112,0.571,0.115,4.549,3.95,3.514,3.058,2.536,1.957,1.482,1.046,0.467,0.087,4.492,4.036,3.504,2.982,2.47,1.928,1.501,0.989,0.476,0.049
4.634,4.14,3.59,3.058,2.574,2.052,1.587,1.112,0.58,0.115,4.577,3.922,3.542,3.011,2.489,1.938,1.454,1.017,0.495,0.03,4.511,4.083,3.523,3.011,2.508,1.976,1.463,0.989,0.467,0.077
4.624,4.131,3.59,3.077,2.574,2.061,1.587,1.131,0.58,0.106,4.568,4.007,3.523,2.992,2.489,1.966,1.454,0.998,0.457,0.058,4.482,4.083,3.514,3.001,2.489,1.985,1.492,0.998,0.495,0.049
4.624,4.159,3.628,3.068,2.546,2.004,1.596,1.084,0.609,0.106,4.577,3.988,3.523,3.03,2.489,1.928,1.492,1.027,0.467,0.106,4.501,4.064,3.504,2.992,2.489,1.966,1.482,0.979,0.467,0.058
4.634,4.14,3.618,3.068,2.536,2.023,1.644,1.141,0.571,0.125,4.577,3.931,3.523,3.039,2.479,1.985,1.473,0.998,0.486,0.087,4.492,4.036,3.523,2.992,2.498,1.985,1.463,0.989,0.486,0.049
4.624,4.131,3.628,3.077,2.564,2.042,1.596,1.084,0.599,0.134,4.586,3.941,3.514,3.03,2.498,1.947,1.473,1.074,0.467,0.087,4.511,4.045,3.523,2.992,2.498,2.004,1.473,0.989,0.486,0.039
4.624,4.121,3.609,3.068,2.555,2.004,1.568,1.112,0.561,0.115,4.53,3.969,3.523,2.992,2.498,1.976,1.482,1.065,0.495,0.058,4.492,4.064,3.504,2.982,2.498,1.957,1.473,1.017,0.486,0.068
4.624,4.121,3.59,3.039,2.574,2.052,1.587,1.103,0.59,0.106,4.568,3.96,3.533,2.973,2.489,1.947,1.482,1.046,0.476,0.039,4.492,4.055,3.495,3.001,2.498,1.966,1.482,1.008,0.495,0.096
4.624,4.121,3.647,3.087,2.555,2.042,1.596,1.093,0.571,0.106,4.577,3.998,3.533,3.02,2.498,1.976,1.444,1.008,0.467,0.068,4.482,4.045,3.514,2.992,2.508,1.985,1.482,1.008,0.457,0.058
