U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.71,3.931,3.723,3.058,2.593,2.261,1.691,1.273,0.675,0.22,4.634,3.931,3.58,2.906,2.451,2.166,1.644,1.15,0.59,0.106,4.624,4.064,3.58,2.982,2.375,2.09,1.587,1.122,0.542,0.125,4.615,4.492,3.504,2.973,2.413,2.137,1.606,1.036,0.523,0.068,4.596,4.596,3.571,2.925,2.432,2.185,1.634,1.084,0.552,0.049,4.444,3.846,3.457,2.944,2.441,1.995,1.577,1.112,0.505,0.125
4.748,3.95,3.713,3.001,2.564,2.251,1.701,1.216,0.675,0.191,4.615,3.941,3.58,2.925,2.441,2.147,1.568,1.16,0.59,0.201,4.596,4.178,3.571,2.944,2.346,2.061,1.596,1.16,0.552,0.106,4.605,4.643,3.504,2.935,2.403,2.128,1.577,1.065,0.542,0.058,4.586,4.359,3.571,2.982,2.489,2.147,1.625,1.084,0.542,0.087,4.463,3.922,3.476,2.925,2.46,2.061,1.568,1.112,0.58,0.144
4.7,3.941,3.723,3.049,2.583,2.204,1.72,1.216,0.694,0.21,4.615,3.903,3.609,2.925,2.441,2.185,1.596,1.188,0.647,0.134,4.605,3.837,3.58,2.992,2.346,2.118,1.558,1.15,0.571,0.144,4.615,4.615,3.533,2.973,2.432,2.137,1.615,1.093,0.505,0.068,4.596,4.7,3.561,2.925,2.422,2.175,1.644,1.084,0.523,0.039,4.425,3.894,3.485,2.982,2.479,2.052,1.577,1.084,0.571,0.125
4.729,3.969,3.723,3.03,2.593,2.299,1.71,1.245,0.647,0.21,4.634,3.865,3.609,2.925,2.432,2.185,1.625,1.188,0.59,0.115,4.605,3.922,3.59,2.963,2.365,2.042,1.606,1.16,0.542,0.106,4.605,4.549,3.523,2.935,2.365,2.118,1.587,1.065,0.514,0.058,4.586,4.681,3.571,2.925,2.403,2.137,1.653,1.074,0.552,0.058,4.444,3.894,3.476,2.935,2.422,2.052,1.568,1.074,0.542,0.144
4.719,4.397,3.761,2.992,2.602,2.242,1.672,1.292,0.647,0.22,4.605,3.95,3.618,2.906,2.479,2.175,1.634,1.131,0.58,0.106,4.634,3.95,3.609,2.963,2.346,2.09,1.577,1.15,0.571,0.125,4.624,4.397,3.552,2.982,2.451,2.128,1.653,1.065,0.495,0.049,4.643,4.549,3.571,2.963,2.422,2.223,1.615,1.046,0.552,0.096,4.454,3.903,3.476,2.963,2.47,2.137,1.539,1.093,0.542,0.115
4.7,4.064,3.713,3.096,2.574,2.308,1.739,1.283,0.656,0.22,4.615,3.922,3.609,2.973,2.441,2.156,1.606,1.122,0.609,0.172,4.634,3.931,3.628,2.925,2.365,2.099,1.587,1.141,0.561,0.163,4.596,4.605,3.542,2.944,2.403,2.137,1.625,1.046,0.495,0.068,4.577,4.311,3.533,2.944,2.422,2.213,1.606,1.065,0.542,0.096,4.425,3.903,3.457,2.992,2.441,2.061,1.596,1.074,0.552,0.153
4.7,4.007,3.713,3.03,2.631,2.356,1.701,1.254,0.656,0.248,4.596,3.837,3.561,2.935,2.46,2.137,1.625,1.131,0.571,0.182,4.586,3.96,3.609,2.963,2.346,2.071,1.606,1.15,0.561,0.106,4.596,4.568,3.476,2.916,2.394,2.099,1.625,1.027,0.561,0.106,4.605,4.292,3.561,2.973,2.375,2.232,1.672,1.055,0.58,0.049,4.435,3.865,3.447,2.925,2.441,2.052,1.539,1.112,0.58,0.134
4.7,3.96,3.704,3.001,2.564,2.261,1.682,1.273,0.628,0.182,4.586,3.856,3.561,2.944,2.441,2.175,1.596,1.16,0.628,0.144,4.643,3.884,3.58,2.944,2.365,2.109,1.577,1.16,0.599,0.087,4.662,4.501,3.533,2.944,2.413,2.128,1.615,1.046,0.523,0.068,4.634,4.511,3.561,2.992,2.384,2.204,1.606,1.055,0.552,0.077,4.444,3.894,3.466,2.963,2.479,2.09,1.539,1.074,0.552,0.153
4.7,3.969,3.732,3.001,2.555,2.27,1.691,1.292,0.637,0.248,4.605,3.922,3.599,2.925,2.432,2.156,1.596,1.131,0.542,0.115,4.586,4.131,3.637,2.982,2.356,2.071,1.568,1.15,0.58,0.134,4.596,4.577,3.523,2.963,2.47,2.128,1.606,1.065,0.505,0.068,4.605,4.662,3.571,2.992,2.451,2.299,1.615,1.084,0.542,0.049,4.463,3.96,3.476,2.925,2.441,2.023,1.577,1.122,0.533,0.134
4.719,3.922,3.761,2.992,2.546,2.242,1.672,1.235,0.647,0.21,4.596,3.922,3.58,2.963,2.46,2.175,1.596,1.15,0.675,0.182,4.605,3.96,3.58,2.973,2.375,2.071,1.615,1.122,0.542,0.144,4.577,4.577,3.552,2.944,2.375,2.128,1.615,1.046,0.552,0.049,4.615,4.33,3.542,2.925,2.394,2.261,1.625,1.074,0.552,0.068,4.463,3.912,3.485,2.963,2.441,2.033,1.549,1.074,0.58,0.172
