U0U1_v1,U0U1_v2,U0U1_v3,U0U1_v4,U0U1_v5,U0U1_v6,U0U1_v7,U0U1_v8,U0U1_v9,U0U1_v10,U0U2_v1,U0U2_v2,U0U2_v3,U0U2_v4,U0U2_v5,U0U2_v6,U0U2_v7,U0U2_v8,U0U2_v9,U0U2_v10,U0U3_v1,U0U3_v2,U0U3_v3,U0U3_v4,U0U3_v5,U0U3_v6,U0U3_v7,U0U3_v8,U0U3_v9,U0U3_v10,U1U2_v1,U1U2_v2,U1U2_v3,U1U2_v4,U1U2_v5,U1U2_v6,U1U2_v7,U1U2_v8,U1U2_v9,U1U2_v10,U1U3_v1,U1U3_v2,U1U3_v3,U1U3_v4,U1U3_v5,U1U3_v6,U1U3_v7,U1U3_v8,U1U3_v9,U1U3_v10,U2U3_v1,U2U3_v2,U2U3_v3,U2U3_v4,U2U3_v5,U2U3_v6,U2U3_v7,U2U3_v8,U2U3_v9,U2U3_v10
4.653,4.188,3.628,3.087,2.602,2.09,1.606,1.093,0.599,0.153,4.586,4.14,3.628,3.077,2.564,2.118,1.549,1.084,0.694,0.096,4.615,4.14,3.618,3.049,2.583,2.042,1.549,1.017,0.542,0.096,4.568,4.112,3.59,3.096,2.508,2.08,1.501,1.074,0.618,0.163,4.634,4.15,3.628,3.077,2.536,2.023,1.577,1.017,0.58,0.134,4.643,4.121,3.647,3.106,2.593,2.042,1.587,1.065,0.58,0.163
4.681,4.207,3.628,3.049,2.612,2.109,1.606,1.074,0.618,0.153,4.605,4.112,3.542,3.068,2.564,2.09,1.568,1.065,0.523,0.02,4.596,4.112,3.609,3.068,2.555,2.023,1.568,1.036,0.514,0.096,4.586,4.121,3.59,3.077,2.564,2.042,1.511,0.989,0.609,0.125,4.643,4.15,3.618,3.077,2.574,2.052,1.539,1.046,0.599,0.039,4.634,4.159,3.628,3.096,2.583,2.061,1.606,1.055,0.59,0.182
4.7,4.207,3.656,3.096,2.678,2.061,1.606,1.103,0.609,0.163,4.558,4.159,3.599,3.058,2.574,2.033,1.539,1.093,0.618,0.077,4.596,4.121,3.571,3.068,2.564,2.014,1.53,1.055,0.571,0.106,4.596,4.112,3.609,3.115,2.498,2.023,1.53,1.036,0.58,0.087,4.586,4.15,3.609,3.096,2.527,2.033,1.539,1.027,0.58,0.106,4.662,4.15,3.628,3.087,2.583,2.042,1.558,1.065,0.59,0.144
4.643,4.169,3.637,3.077,2.669,2.118,1.625,1.112,0.618,0.134,4.605,4.131,3.571,3.058,2.555,2.052,1.577,1.131,0.523,0.172,4.615,4.121,3.58,3.077,2.564,2.004,1.549,1.036,0.552,0.106,4.624,4.093,3.618,3.039,2.536,2.08,1.53,1.055,0.533,0.106,4.643,4.178,3.628,3.068,2.564,1.985,1.549,1.036,0.561,0.201,4.653,4.14,3.628,3.068,2.593,2.033,1.577,1.074,0.561,0.144
4.662,4.197,3.637,3.087,2.678,2.099,1.587,1.112,0.618,0.172,4.586,4.131,3.59,3.011,2.564,2.023,1.568,1.112,0.599,0.058,4.643,4.121,3.571,3.058,2.574,2.014,1.577,1.027,0.58,0.144,4.605,4.15,3.59,3.125,2.555,2.052,1.577,0.989,0.561,0.134,4.586,4.178,3.609,3.087,2.564,2.014,1.606,1.027,0.599,0.144,4.634,4.131,3.618,3.058,2.593,2.033,1.606,1.055,0.59,0.191
4.672,4.216,3.647,3.049,2.65,2.099,1.596,1.122,0.609,0.144,4.577,4.15,3.628,3.068,2.546,2.042,1.568,1.084,0.599,0.144,4.615,4.121,3.628,3.058,2.583,2.061,1.539,1.036,0.58,0.106,4.596,4.102,3.571,3.068,2.489,2.09,1.52,1.084,0.618,0.125,4.634,4.178,3.58,3.077,2.555,2.042,1.539,1.017,0.552,0.087,4.643,4.14,3.628,3.096,2.574,2.033,1.577,1.074,0.561,0.182
4.662,4.207,3.637,3.077,2.631,2.109,1.596,1.122,0.609,0.125,4.615,4.14,3.561,3.068,2.593,2.09,1.549,1.093,0.637,0.153,4.605,4.131,3.599,3.058,2.546,2.023,1.53,1.046,0.542,0.106,4.634,4.121,3.599,3.115,2.546,2.09,1.52,1.074,0.542,0.144,4.586,4.15,3.618,3.087,2.583,2.052,1.52,0.998,0.59,0.153,4.653,4.14,3.628,3.077,2.583,2.052,1.587,1.065,0.59,0.153
4.634,4.178,3.647,3.068,2.678,2.109,1.606,1.074,0.618,0.106,4.643,4.15,3.59,3.087,2.546,2.052,1.558,1.122,0.609,0.077,4.624,4.102,3.599,3.068,2.564,2.052,1.558,1.046,0.561,0.106,4.586,4.102,3.571,3.106,2.536,1.985,1.53,1.065,0.609,0.144,4.596,4.159,3.628,3.087,2.564,2.023,1.606,1.065,0.561,0.182,4.643,4.15,3.637,3.087,2.593,2.042,1.596,1.065,0.58,0.201
4.681,4.188,3.647,3.096,2.64,2.09,1.615,1.122,0.599,0.134,4.634,4.121,3.628,3.087,2.602,2.033,1.596,1.122,0.58,0.049,4.596,4.121,3.599,3.077,2.593,1.995,1.568,1.036,0.552,0.096,4.605,4.093,3.618,3.106,2.527,2.033,1.492,1.027,0.628,0.172,4.662,4.169,3.609,3.096,2.546,2.004,1.511,1.046,0.58,0.106,4.662,4.131,3.628,3.087,2.564,2.052,1.568,1.055,0.571,0.172
4.672,4.178,3.628,3.077,2.65,2.128,1.625,1.093,0.618,0.125,4.634,4.131,3.599,3.039,2.564,2.052,1.596,1.093,0.542,0.068,4.605,4.131,3.58,3.039,2.536,2.033,1.539,0.998,0.561,0.106,4.605,4.093,3.609,3.087,2.517,2.014,1.501,1.065,0.609,0.172,4.634,4.159,3.609,3.106,2.574,2.052,1.53,1.046,0.533,0.144,4.653,4.131,3.618,3.077,2.583,2.052,1.596,1.065,0.59,0.172
